leading_item_id,following_item_id,value
WBLJNPZQ,DEWLVASR,392655
QVLMOEYE,DEWLVASR,392655
FQCLOEXA,DEWLVASR,390345
FTSVTTSR,DEWLVASR,390345
XUOIQPFL,DEWLVASR,392655
VUAFAIYJ,DEWLVASR,390345
ELQGMQWE,DEWLVASR,390345
ZXERAXWP,DEWLVASR,390345
VWMBASNE,DEWLVASR,392655
RJGPVEXX,DEWLVASR,390345
UIFPPCLR,DEWLVASR,392655
OKMBFVKS,DEWLVASR,392655
OJIFIHMZ,DEWLVASR,390345
UGEQLMXM,DEWLVASR,392655
NZKBIBNU,DEWLVASR,390345
UQYUIVVR,DEWLVASR,390345
VBYCLTYZ,DEWLVASR,392655
OXKURKXR,DEWLVASR,392655
LPHPPJUG,DEWLVASR,390345
AHMDUILJ,DEWLVASR,392655
RAWUKQMJ,DEWLVASR,390476
HXYSSRXE,DEWLVASR,391781
JERHKLYW,DEWLVASR,390345
QRKRBYJL,DNMPSKTB,4930431
QVLMOEYE,DNMPSKTB,4930431
VBYCLTYZ,DNMPSKTB,4930431
ATLDMDBO,DNMPSKTB,4930431
GYHKIVQT,DNMPSKTB,4930431
XUOIQPFL,DNMPSKTB,4930431
SDWAYPIK,DNMPSKTB,4930431
HXYSSRXE,DNMPSKTB,4930431
RCBZUSIM,DNMPSKTB,4930431
BTMOEMEP,DNMPSKTB,4930431
APQGTRMF,DNMPSKTB,4930431
JPBRUTWP,DNMPSKTB,4930431
LRVGFDFM,DNMPSKTB,4930431
OXKURKXR,DNMPSKTB,4930431
RAWUKQMJ,DNMPSKTB,4930431
DEWLVASR,DNMPSKTB,4938970
FRHNWLNI,DNMPSKTB,4930431
IGDVVKUD,DNMPSKTB,4930431
LUENUFGA,DNMPSKTB,4938970
OKMBFVKS,DNMPSKTB,4930431
UGEQLMXM,DNMPSKTB,4930431
WQMVCOEM,DNMPSKTB,4930431
DBWLZWNK,DNMPSKTB,4930431
ZGJXVMNI,DNMPSKTB,4938970
ZKENOUDA,DNMPSKTB,4938970
AXULOHBQ,DNMPSKTB,4930431
WBLJNPZQ,DNMPSKTB,4930431
EVBVXETX,DNMPSKTB,4930431
UXSPKBJR,DNMPSKTB,4930431
ZCELVYQU,DNMPSKTB,4930431
LSOIUSXD,DUCMGGNW,1026054
AHMDUILJ,DUCMGGNW,1026054
WHPUAOID,DUCMGGNW,1026054
VUAFAIYJ,DUCMGGNW,1029441
SDWAYPIK,DUCMGGNW,1026054
APQGTRMF,DUCMGGNW,1026054
JBVHSUWY,DUCMGGNW,1026054
LRVGFDFM,DUCMGGNW,1026054
DBWLZWNK,DUCMGGNW,1026054
XMKRPGLB,DUCMGGNW,1026054
QJQJSWFU,DUCMGGNW,1026054
NZKBIBNU,DUCMGGNW,1026054
JPBRUTWP,DUCMGGNW,1026054
UIFPPCLR,DUCMGGNW,1026054
CCLHWFWF,DUCMGGNW,1026054
UXSPKBJR,DUCMGGNW,1026054
FCYBOAXC,DUCMGGNW,1026054
VBYCLTYZ,DUCMGGNW,1026054
ROACSLMG,DUCMGGNW,1026054
EVBVXETX,DUCMGGNW,1026184
LLHREMKS,ELQGMQWE,369226
GYHKIVQT,ELQGMQWE,374592
FTSVTTSR,ELQGMQWE,369226
ZCELVYQU,ELQGMQWE,369226
OKMBFVKS,ELQGMQWE,374592
UGEQLMXM,ELQGMQWE,374592
DEWLVASR,ELQGMQWE,369226
OXKURKXR,ELQGMQWE,374592
ZKENOUDA,ELQGMQWE,369226
DBWLZWNK,ELQGMQWE,374592
DNMPSKTB,ELQGMQWE,374592
NZKBIBNU,ELQGMQWE,369226
VUAFAIYJ,ELQGMQWE,369226
SDWAYPIK,ELQGMQWE,374592
LSOIUSXD,ELQGMQWE,374592
KAGJCHMR,ELQGMQWE,369226
GKQIJYDH,ELQGMQWE,369226
QRKRBYJL,ELQGMQWE,374592
CCLHWFWF,ELQGMQWE,374592
ZGJXVMNI,ELQGMQWE,369226
QVLMOEYE,ELQGMQWE,374592
STZDBITS,ELQGMQWE,369357
LTOYKIML,ELQGMQWE,369226
XUOIQPFL,ELQGMQWE,369357
SNHYOVBM,ELQGMQWE,369226
LRVGFDFM,ELQGMQWE,369357
LPHPPJUG,ELQGMQWE,369226
RCBZUSIM,ELQGMQWE,369357
RJGPVEXX,ELQGMQWE,369226
JPBRUTWP,ELQGMQWE,369357
GYHKIVQT,EVBVXETX,5210183
FQCLOEXA,EVBVXETX,5206796
HXYSSRXE,EVBVXETX,5210183
ZGJXVMNI,EVBVXETX,5206796
SAHWCZNH,EVBVXETX,5210183
AXULOHBQ,EVBVXETX,5210183
DNMPSKTB,EVBVXETX,5210183
WPQXWHYO,EVBVXETX,5206796
ZKENOUDA,EVBVXETX,5206796
XIFHSOWQ,EVBVXETX,5210183
KEUWZRKO,EVBVXETX,5210183
NZKBIBNU,EVBVXETX,5206796
KJNSOAHR,EVBVXETX,5206796
RAWUKQMJ,EVBVXETX,5210183
BJALXPFS,EVBVXETX,5210183
SDWAYPIK,EVBVXETX,5210183
JPBRUTWP,EVBVXETX,5210183
FDXPMYGF,EVBVXETX,5210183
ATLDMDBO,EVBVXETX,5210183
BSRMSVTC,EVBVXETX,5210183
QRKRBYJL,EVBVXETX,5210183
LPHPPJUG,EVBVXETX,5206796
DEWLVASR,EVBVXETX,5206796
QVLMOEYE,EVBVXETX,5210183
BUZIIBYG,EVBVXETX,5206796
VWMBASNE,EVBVXETX,5210183
LSOIUSXD,EVBVXETX,5210183
VMAQSTJE,EVBVXETX,5210183
LRVGFDFM,EVBVXETX,5206796
APQGTRMF,EVBVXETX,5206927
LSOIUSXD,FCYBOAXC,108267039
KJNSOAHR,FCYBOAXC,108269634
OKMBFVKS,FCYBOAXC,108267039
VWMBASNE,FCYBOAXC,108267039
UGEQLMXM,FCYBOAXC,108267039
RJGPVEXX,FCYBOAXC,108269634
MBSBZBXA,FCYBOAXC,108269634
CCLHWFWF,FCYBOAXC,108269634
XIFHSOWQ,FCYBOAXC,108267039
XMKRPGLB,FCYBOAXC,108267039
GYHKIVQT,FCYBOAXC,108267039
ZXERAXWP,FCYBOAXC,108269634
DEWLVASR,FCYBOAXC,108269634
VUAFAIYJ,FCYBOAXC,108269634
JPBRUTWP,FCYBOAXC,108267039
VMAQSTJE,FCYBOAXC,108270796
QVLMOEYE,FCYBOAXC,108269241
LRVGFDFM,FCYBOAXC,108269634
WPQXWHYO,FCYBOAXC,108269634
QJQJSWFU,FCYBOAXC,108269765
UQYUIVVR,FCYBOAXC,108269634
QVLMOEYE,FDXPMYGF,6939
IGDVVKUD,FDXPMYGF,6939
VBYCLTYZ,FDXPMYGF,6939
UGEQLMXM,FDXPMYGF,6939
DBWLZWNK,FDXPMYGF,6939
QRKRBYJL,FDXPMYGF,6939
BUZIIBYG,FDXPMYGF,6939
WHPUAOID,FDXPMYGF,6939
EVBVXETX,FDXPMYGF,6939
ROACSLMG,FDXPMYGF,6939
OKMBFVKS,FDXPMYGF,6939
JPBRUTWP,FDXPMYGF,6939
ATLDMDBO,FDXPMYGF,6939
WQMVCOEM,FDXPMYGF,6939
APQGTRMF,FDXPMYGF,6939
FQCLOEXA,FDXPMYGF,6939
ZCELVYQU,FDXPMYGF,6939
OXKURKXR,FDXPMYGF,6939
GYHKIVQT,FDXPMYGF,6939
LSOIUSXD,FDXPMYGF,6939
LRVGFDFM,FDXPMYGF,6939
FRHNWLNI,FDXPMYGF,6939
RAWUKQMJ,FDXPMYGF,6939
BTMOEMEP,FDXPMYGF,6939
SDWAYPIK,FDXPMYGF,6939
FITUEHWN,FDXPMYGF,6939
GKQIJYDH,FDXPMYGF,6939
JSLXRQOK,FDXPMYGF,6939
BSRMSVTC,FITUEHWN,60237
RJGPVEXX,FITUEHWN,60237
FQCLOEXA,FITUEHWN,60237
ZGJXVMNI,FITUEHWN,60237
OJIFIHMZ,FITUEHWN,60237
NZKBIBNU,FITUEHWN,60237
WPQXWHYO,FITUEHWN,60237
WHPUAOID,FITUEHWN,60237
UXSPKBJR,FITUEHWN,60237
SDWAYPIK,FITUEHWN,62547
ZKENOUDA,FITUEHWN,60237
OXKURKXR,FITUEHWN,62547
GYHKIVQT,FITUEHWN,60368
VWMBASNE,FITUEHWN,60368
CCLHWFWF,FITUEHWN,60237
ZXERAXWP,FQCLOEXA,2434799
LLHREMKS,FQCLOEXA,2434799
ZKENOUDA,FQCLOEXA,2434799
ZGJXVMNI,FQCLOEXA,2434799
JPBRUTWP,FQCLOEXA,2438187
DEWLVASR,FQCLOEXA,2434799
ELQGMQWE,FQCLOEXA,2434799
KJNSOAHR,FQCLOEXA,2434799
SDWAYPIK,FQCLOEXA,2438187
DNMPSKTB,FQCLOEXA,2438187
OKMBFVKS,FQCLOEXA,2438187
GYHKIVQT,FQCLOEXA,2438187
UGEQLMXM,FQCLOEXA,2438187
RAWUKQMJ,FQCLOEXA,2438187
RJGPVEXX,FQCLOEXA,2434799
QRKRBYJL,FQCLOEXA,2438187
APQGTRMF,FQCLOEXA,2438187
YSYHGLQK,FQCLOEXA,2434799
LSOIUSXD,FQCLOEXA,2438187
QVLMOEYE,FQCLOEXA,2438187
ATLDMDBO,FQCLOEXA,2438187
ZCELVYQU,FQCLOEXA,2434799
BTMOEMEP,FQCLOEXA,2438187
VBYCLTYZ,FQCLOEXA,2438187
DBWLZWNK,FQCLOEXA,2436235
JBVHSUWY,FQCLOEXA,2436235
UQYUIVVR,FQCLOEXA,2434799
IGDVVKUD,FQCLOEXA,2438187
AXULOHBQ,FQCLOEXA,2434930
UIFPPCLR,FQCLOEXA,2434930
EVBVXETX,FRHNWLNI,1263093
DBWLZWNK,FRHNWLNI,1263093
FQCLOEXA,FRHNWLNI,1263093
NZKBIBNU,FRHNWLNI,1263093
SAHWCZNH,FRHNWLNI,1268072
BUZIIBYG,FRHNWLNI,1263093
QRKRBYJL,FRHNWLNI,1263093
XIFHSOWQ,FRHNWLNI,1268072
BTMOEMEP,FRHNWLNI,1263093
HCDTGMST,FRHNWLNI,1268072
QVLMOEYE,FRHNWLNI,1263093
UXSPKBJR,FRHNWLNI,1263093
RJGPVEXX,FRHNWLNI,1263093
VBYCLTYZ,FRHNWLNI,1263093
DUCMGGNW,FRHNWLNI,1268072
ZXERAXWP,FRHNWLNI,1263093
DDEXPPXU,FRHNWLNI,1263093
RCBZUSIM,FRHNWLNI,1263093
JPBRUTWP,FRHNWLNI,1263093
LRVGFDFM,FRHNWLNI,1263093
VWMBASNE,FRHNWLNI,1266084
WHPUAOID,FRHNWLNI,1263093
JSLXRQOK,FTSVTTSR,161084
ZKENOUDA,FTSVTTSR,161084
KAGJCHMR,FTSVTTSR,161084
JBVHSUWY,FTSVTTSR,161084
NZKBIBNU,FTSVTTSR,161084
ZGJXVMNI,FTSVTTSR,161084
ELQGMQWE,FTSVTTSR,161084
LTOYKIML,FTSVTTSR,168634
DDEXPPXU,FTSVTTSR,161084
DEWLVASR,FTSVTTSR,161084
ZXERAXWP,FTSVTTSR,161084
MBSBZBXA,FTSVTTSR,161084
AHMDUILJ,FTSVTTSR,161215
DBWLZWNK,FTSVTTSR,161084
LLHREMKS,GKQIJYDH,10052842
DDEXPPXU,GKQIJYDH,10052842
KAGJCHMR,GKQIJYDH,10052842
FTSVTTSR,GKQIJYDH,10052842
JSLXRQOK,GKQIJYDH,10052842
ZKENOUDA,GKQIJYDH,10052842
UIFPPCLR,GKQIJYDH,10052973
STZDBITS,GKQIJYDH,10052842
ZCELVYQU,GKQIJYDH,10052842
ZXERAXWP,GKQIJYDH,10052842
XMKRPGLB,GKQIJYDH,10052842
KJNSOAHR,GKQIJYDH,10052842
LTOYKIML,GKQIJYDH,10052842
SDWAYPIK,GYHKIVQT,23147411
DNMPSKTB,GYHKIVQT,23147411
ATLDMDBO,GYHKIVQT,23147411
QRKRBYJL,GYHKIVQT,23147411
JPBRUTWP,GYHKIVQT,23147411
VBYCLTYZ,GYHKIVQT,23147411
UIFPPCLR,GYHKIVQT,23147411
UGEQLMXM,GYHKIVQT,23147411
ZGJXVMNI,GYHKIVQT,23134370
ZKENOUDA,GYHKIVQT,23134370
QVLMOEYE,GYHKIVQT,23147411
XUOIQPFL,GYHKIVQT,23147411
RCBZUSIM,GYHKIVQT,23147411
OKMBFVKS,GYHKIVQT,23147411
HXYSSRXE,GYHKIVQT,23147411
RJGPVEXX,GYHKIVQT,23134370
BTMOEMEP,GYHKIVQT,23147411
BJALXPFS,GYHKIVQT,23147411
LRVGFDFM,GYHKIVQT,23147411
APQGTRMF,GYHKIVQT,23147411
OXKURKXR,GYHKIVQT,23147411
BEZYMBBT,GYHKIVQT,23147411
RAWUKQMJ,GYHKIVQT,23147411
IGDVVKUD,GYHKIVQT,23147411
LSOIUSXD,GYHKIVQT,23147411
ROACSLMG,GYHKIVQT,23147411
QJQJSWFU,GYHKIVQT,23147411
LPHPPJUG,GYHKIVQT,23134370
WBLJNPZQ,GYHKIVQT,23147411
DBWLZWNK,GYHKIVQT,23147411
FDXPMYGF,HCDTGMST,55990
SUOYXCHP,HCDTGMST,55990
UQYUIVVR,HCDTGMST,55990
YSYHGLQK,HCDTGMST,55990
AXULOHBQ,HCDTGMST,55990
QJQJSWFU,HCDTGMST,56638
HXYSSRXE,HCDTGMST,55990
SAAYMURU,HCDTGMST,55990
WPQXWHYO,HCDTGMST,55990
MBSBZBXA,HCDTGMST,55990
QVLMOEYE,HXYSSRXE,4980915
VBYCLTYZ,HXYSSRXE,4980915
QRKRBYJL,HXYSSRXE,4980915
GYHKIVQT,HXYSSRXE,4980915
BTMOEMEP,HXYSSRXE,4980915
ATLDMDBO,HXYSSRXE,4980915
SDWAYPIK,HXYSSRXE,4980915
BEZYMBBT,HXYSSRXE,4980915
WBLJNPZQ,HXYSSRXE,4980915
UXSPKBJR,HXYSSRXE,4980915
IGDVVKUD,HXYSSRXE,4980915
APQGTRMF,HXYSSRXE,4980915
EVBVXETX,HXYSSRXE,4980915
OKMBFVKS,HXYSSRXE,4980915
JPBRUTWP,HXYSSRXE,4980915
LRVGFDFM,HXYSSRXE,4980915
DBWLZWNK,HXYSSRXE,4980915
FDXPMYGF,HXYSSRXE,4980915
UIFPPCLR,HXYSSRXE,4980915
ROACSLMG,HXYSSRXE,4980915
RAWUKQMJ,HXYSSRXE,4980915
RCBZUSIM,HXYSSRXE,4980915
WQMVCOEM,HXYSSRXE,4980915
UGEQLMXM,HXYSSRXE,4980915
OXKURKXR,HXYSSRXE,4980915
XUOIQPFL,HXYSSRXE,4980915
DUCMGGNW,HXYSSRXE,4980915
SAHWCZNH,HXYSSRXE,4984302
VUAFAIYJ,HXYSSRXE,4984302
DNMPSKTB,HXYSSRXE,4980915
LRVGFDFM,IGDVVKUD,10121
BTMOEMEP,IGDVVKUD,10121
XUOIQPFL,IGDVVKUD,10121
UXSPKBJR,IGDVVKUD,10121
FQCLOEXA,IGDVVKUD,10121
EVBVXETX,IGDVVKUD,10121
DBWLZWNK,IGDVVKUD,10121
DNMPSKTB,IGDVVKUD,10121
UGEQLMXM,IGDVVKUD,10121
FRHNWLNI,IGDVVKUD,10121
VBYCLTYZ,IGDVVKUD,10121
JPBRUTWP,IGDVVKUD,10121
OXKURKXR,IGDVVKUD,10121
ATLDMDBO,IGDVVKUD,10121
KJNSOAHR,IGDVVKUD,10121
UIFPPCLR,IGDVVKUD,10121
ZCELVYQU,IGDVVKUD,10121
FITUEHWN,IGDVVKUD,10121
GYHKIVQT,IGDVVKUD,10252
AHMDUILJ,IGDVVKUD,10121
JBVHSUWY,IGDVVKUD,11485
FTSVTTSR,IGDVVKUD,10121
RAWUKQMJ,JBVHSUWY,245761
BTMOEMEP,JBVHSUWY,245761
ZGJXVMNI,JBVHSUWY,252323
OXKURKXR,JBVHSUWY,245761
DNMPSKTB,JBVHSUWY,245761
HXYSSRXE,JBVHSUWY,245761
WBLJNPZQ,JBVHSUWY,245761
ZKENOUDA,JBVHSUWY,252323
ATLDMDBO,JBVHSUWY,245761
KEUWZRKO,JBVHSUWY,245761
UQYUIVVR,JBVHSUWY,245892
DEWLVASR,JBVHSUWY,247799
QRKRBYJL,JBVHSUWY,245761
WHPUAOID,JBVHSUWY,252323
IGDVVKUD,JBVHSUWY,245761
ELQGMQWE,JBVHSUWY,245892
HCDTGMST,JERHKLYW,8010
FDXPMYGF,JERHKLYW,8010
OJIFIHMZ,JERHKLYW,8010
KAGJCHMR,JERHKLYW,8010
